Mapped Sensor Values 	 red: 133	 green: 97	 blue: 94
Raw Sensor Values 	 red: 547	 green: 354	 blue: 416
Mapped Sensor Values 	 red: 136	 green: 88	 blue: 104
Raw Sensor Values 	 red: 546	 green: 389	 blue: 362
Mapped Sensor Values 	 red: 136	 green: 97	 blue: 90
Raw Sensor Values 	 red: 522	 green: 367	 blue: 413
Mapped Sensor Values 	 red: 130	 green: 91	 blue: 103
Raw Sensor Values 	 red: 583	 green: 361	 blue: 386
Mapped Sensor Values 	 red: 145	 green: 90	 blue: 96
Raw Sensor Values 	 red: 513	 green: 390	 blue: 386
Mapped Sensor Values 	 red: 128	 green: 97	 blue: 96
Raw Sensor Values 	 red: 569	 green: 343	 blue: 419
Mapped Sensor Values 	 red: 142	 green: 85	 blue: 104
Raw Sensor Values 	 red: 537	 green: 391	 blue: 360
Mapped Sensor Values 	 red: 134	 green: 97	 blue: 90
Raw Sensor Values 	 red: 537	 green: 359	 blue: 417
Mapped Sensor Values 	 red: 134	 green: 89	 blue: 104
Raw Sensor Values 	 red: 572	 green: 368	 blue: 373
Mapped Sensor Values 	 red: 143	 green: 92	 blue: 93
Raw Sensor Values 	 red: 497	 green: 380	 blue: 389
Mapped Sensor Values 	 red: 124	 green: 95	 blue: 97
Raw Sensor Values 	 red: 578	 green: 329	 blue: 408
Mapped Sensor Values 	 red: 144	 green: 82	 blue: 102
Raw Sensor Values 	 red: 529	 green: 379	 blue: 365
Mapped Sensor Values 	 red: 132	 green: 94	 blue: 91
Raw Sensor Values 	 red: 538	 green: 349	 blue: 406
Mapped Sensor Values 	 red: 134	 green: 87	 blue: 101
Raw Sensor Values 	 red: 546	 green: 375	 blue: 354
Mapped Sensor Values 	 red: 136	 green: 93	 blue: 88
Raw Sensor Values 	 red: 505	 green: 365	 blue: 399
Mapped Sensor Values 	 red: 126	 green: 91	 blue: 99
Raw Sensor Values 	 red: 577	 green: 331	 blue: 396
Mapped Sensor Values 	 red: 144	 green: 82	 blue: 99
Raw Sensor Values 	 red: 531	 green: 384	 blue: 353
Mapped Sensor Values 	 red: 132	 green: 96	 blue: 88
Raw Sensor Values 	 red: 536	 green: 355	 blue: 412
Mapped Sensor Values 	 red: 134	 green: 88	 blue: 103
Raw Sensor Values 	 red: 571	 green: 367	 blue: 371
Mapped Sensor Values 	 red: 142	 green: 91	 blue: 92
Raw Sensor Values 	 red: 500	 green: 382	 blue: 392
